"open","high","low","close","volume","will5","will14","ema12","next1"
362.5,368.15,362.5,364.3,0.04324,-72.41174726,-85.46647914,374.7567125,365.13
364.3,365.13,352.01,365.13,0.5898,-59.88994191,-77.85654008,373.2756798,335.07
365.13,365.13,335.01,335.07,8.87,-99.87929994,-99.90811639,367.3978829,346.02
335.07,350,335,346.02,7.56,-77.83588093,-81.87201842,364.1089779,347.95
346.02,347.95,344.29,347.95,0.03559,-60.93514329,-78.69715414,361.6229813,320
347.95,347.95,320,320,5.66,-100,-100,355.2194457,323.94
320,325.19,320,323.94,0.1154,-91.26966541,-94.80142499,350.4072233,325
323.94,325.19,323.94,325,4.97,-83.33333333,-93.19635325,346.4984197,325
325,330,325,325,16.87,-82.11091234,-93.19635325,343.1909705,328.2
325,348.2,325,328.2,9.73,-70.92198582,-88.06578373,340.8846674,348
328.2,349.17,328.2,348,0.04009,-4.010970175,-56.73671199,341.9793339,347.08
348,348,333,347.08,6.6,-8.28378914,-58.15822002,342.7640518,350
347.08,350,330.16,350,4.81,0,-53.64647713,343.8772746,350
350,350,338.66,350,19.36,0,-37.69470405,344.8192323,355
350,370,350,355,3.57,-35.88516746,-30,346.3855043,371.7
355,372.63,355,371.7,5.42,-2.189781022,-1.767053012,350.2800421,423.48
371.7,430.36,371.7,423.48,219.46,-6.866267465,-6.234142805,361.5415741,415
423.48,450,380,415,65.88,-31.4352434,-26.92307692,369.7659473,395
415,417.77,395,395,23.16,-55,-42.30769231,373.6481092,379.99
395,395,378.97,379.99,10.68,-73.69473684,-53.85384615,374.6237847,380
379.99,395,379.56,380,1.56,-89.39974457,-55.52911312,375.4508948,400
380,414.26,376,400,25.27,-67.56756757,-40,379.2276802,375.02
400,400,370.39,375.02,13.23,-90.22794428,-59.984,378.5803448,390
375.02,392.96,375.02,390,0.9256,-55.29974926,-49.26108374,380.3372148,354.38
390,390,354.33,354.38,67.07,-99.91656933,-79.78971963,376.3437972,360
354.38,360,342.66,360,1.64,-75.78212291,-75.10013351,373.8293668,370
360,370,360,370,4.05,-52.31949773,-71.85198491,373.2402335,370
370,370,360,370,4.76,-45.64612326,-74.52953233,372.741736,372
370,385,370,372,11.24,-38.02281369,-72.66629402,372.6276228,376
372,390,372,376,10.13,-29.57329954,-68.9398174,373.14645,372.87
376,389.94,366.42,372.87,19.24,-57.1,-71.85578535,373.1039193,376.9
372.87,385.69,365.01,376.9,2.38,-43.66666667,-54.41352683,373.6879317,387
376.9,387,360.52,387,23.27,-10.17639077,-38.0726257,375.7359422,379.09
387,387,379.09,379.09,4.2,-37.00814111,-49.12011173,376.2519511,386.32
379.09,386.32,379.09,386.32,0.001595,-12.30455472,-39.02234637,377.8008817,374.03
386.32,386.74,370.13,374.03,4.18,-48.98036254,-45.2912452,377.220746,386.15
374.03,386.15,372.91,386.15,3.81,-3.209969789,-13.5387674,378.5944774,380
386.15,386.15,371.46,380,23.49,-41.49377593,-21.12378538,378.8107117,379.75
380,380,364.72,379.75,3.76,-31.74386921,-21.65188002,378.9552176,375.19
379.75,380,375.19,375.19,4.68,-52.45231608,-49.36666667,378.3759533,374
375.19,394.59,367,374,34.17,-68.93203883,-59.52587453,377.7027297,373.07
