"open","high","low","close","volume","will14","ema12","next1"
219.98,219.98,206,211.01,7.54,-71.192,232.7347183,219.82
211.01,219.84,208.4,219.82,5.22,-64.144,230.7478386,224.49
219.82,225.91,206.1,224.49,47.35,-60.408,229.7850942,227.02
224.49,241.02,224.49,227.02,26.41,-58.384,229.3596951,228.04
227.02,231.24,222.68,228.04,10.24,-57.568,229.1566651,250.87
228.04,251.36,228.02,250.87,108.7,-39.304,232.4971781,257.06
250.87,257.06,241.28,257.06,46.71,-34.352,236.2760738,270
257.06,307.05,250.04,270,86.66,-28.05755396,241.4643701,250.85
270,270,205,250.85,59.44,-42.5596365,242.9083132,248
250.85,280,248,248,66.57,-44.71790988,243.6916496,231.83
248,248,222.28,231.83,36.22,-67.2507823,241.8667805,220
231.83,239.36,220,220,55.19,-78.38811346,238.5026604,216.69
220,239.98,216.69,216.69,13.39,-84.0167364,235.1468665,239.98
216.69,239.98,210.01,239.98,5.1,-65.72268496,235.8904255,228
239.98,239.98,223.94,228,5.23,-77.46202842,234.6765139,235.45
228,246.93,228,235.45,18.47,-70.16168545,234.7955117,228.9
235.45,235.45,221.85,228.9,15.17,-76.58010779,233.8885099,217
228.9,228.9,215.25,217,17.34,-88.2410583,231.2902776,221.92
217,225,215,221.92,12.4,-83.41989221,229.8486965,229.66
221.92,231.58,218.44,229.66,1.81,-75.83537482,229.8196662,229.23
229.66,229.66,218.81,229.23,14.25,-76.25673689,229.7289484,220.5
229.23,229.23,215,220.5,16.66,-79.33333333,228.3091101,215.01
220.5,221.92,215,215.01,3.39,-92.8561223,226.2630932,207.2
215.01,215.01,205,207.2,5.63,-94.88372093,223.3303096,224
207.2,224,207.2,224,2.52,-54.68638207,223.4333389,232.8
