"open","high","low","close","volume","ema26","cny","next1"
389.14,389.14,376.73,381.01,0.05216,390.2028645,6.126903,395.79
381.01,395.79,371,395.79,0.9598,390.6167264,6.126779,395.79
395.79,395.79,395.79,395.79,0,390.9999319,6.123202,391.24
395.79,395.79,391.24,391.24,0.05,391.0177147,6.128678,391.58
391.24,391.58,371,391.58,9.92,391.0593655,6.127618,388.71
391.58,393.49,371.38,388.71,2.66,390.8853384,6.125744,368.64
388.71,388.71,365,368.64,11.95,389.2375356,6.1224,373.35
368.64,373.69,355,373.35,7.6,388.0606811,6.123173,359.51
373.35,373.35,355,359.51,7.81,385.9458158,6.122065,362.5
359.51,384.72,359.51,362.5,6.12,384.2090887,6.121809,364.3
362.5,368.15,362.5,364.3,0.04324,382.7343414,6.120768,365.13
364.3,365.13,352.01,365.13,0.5898,381.4303161,6.118157,335.07
365.13,365.13,335.01,335.07,8.87,377.9962186,6.115398,346.02
335.07,350,335,346.02,7.56,375.6276098,6.118243,347.95
346.02,347.95,344.29,347.95,0.03559,373.5774165,6.117161,320
347.95,347.95,320,320,5.66,369.608719,6.117991,323.94
320,325.19,320,323.94,0.1154,366.2258509,6.132216,325
323.94,325.19,323.94,325,4.97,363.1720842,6.123276,325
325,330,325,325,16.87,360.3445224,6.121344,328.2
325,348.2,325,328.2,9.73,357.9634467,6.119927,348
328.2,349.17,328.2,348,0.04009,357.2254136,6.117951,347.08
348,348,333,347.08,6.6,356.4739015,6.126435,350
347.08,350,330.16,350,4.81,355.9943532,6.127529,350
350,350,338.66,350,19.36,355.550327,6.127878,355
350,370,350,355,3.57,355.5095621,6.124998,371.7
355,372.63,355,371.7,5.42,356.7088538,6.127366,423.48
371.7,430.36,371.7,423.48,219.46,361.6548646,6.129691,415
423.48,450,380,415,65.88,365.6063561,6.129121,395
415,417.77,395,395,23.16,367.7836631,6.132587,379.99
395,395,378.97,379.99,10.68,368.6878362,6.132237,380
379.99,395,379.56,380,1.56,369.5257742,6.131998,400
380,414.26,376,400,25.27,371.7831243,6.128358,375.02
400,400,370.39,375.02,13.23,372.0228929,6.12518,390
375.02,392.96,375.02,390,0.9256,373.3545304,6.123991,354.38
390,390,354.33,354.38,67.07,371.9490097,6.127213,360
354.38,360,342.66,360,1.64,371.0638978,6.128385,370
360,370,360,370,4.05,370.9850906,6.128365,370
370,370,360,370,4.76,370.9121209,6.128246,372
370,385,370,372,11.24,370.9927045,6.141846,376
372,390,372,376,10.13,371.3636153,6.13801,372.87
376,389.94,366.42,372.87,19.24,371.4751994,6.139247,376.9
372.87,385.69,365.01,376.9,2.38,371.8770365,6.138613,387
376.9,387,360.52,387,23.27,372.997256,6.141255,379.09
387,387,379.09,379.09,4.2,373.4485703,6.141537,386.32
379.09,386.32,379.09,386.32,0.001595,374.4020096,6.141826,374.03
386.32,386.74,370.13,374.03,4.18,374.3744533,6.148186,386.15
374.03,386.15,372.91,386.15,3.81,375.246716,6.145527,380
386.15,386.15,371.46,380,23.49,375.5988111,6.14603,379.75
380,380,364.72,379.75,3.76,375.9063066,6.149557,375.19
379.75,380,375.19,375.19,4.68,375.8532469,6.14802,374
375.19,394.59,367,374,34.17,375.7159693,6.148091,373.07
374,389.98,370.43,373.07,0.3818,375.5199716,6.149208,362.58
373.07,376.06,360.29,362.58,4.53,374.5614552,6.166808,345.49
362.58,376,342.46,345.49,6.64,372.4080141,6.177938,345.56
345.49,357.5,345.49,345.56,0.1607,370.4192723,6.16833,372.12
345.56,372.12,342.5,372.12,0.7364,370.5452521,6.177122,360
372.12,372.12,346.77,360,0.9118,369.7641223,6.174689,352
360,360,350,352,33.15,368.4482614,6.174622,350
352,358.98,350,350,0.6043,367.0817235,6.173584,343.07
350,358.98,342.04,343.07,22.78,365.3030773,6.177014,330.09
342.04,358.92,330.09,330.09,4.45,362.6947012,6.176336,329.99
330.09,355.33,315.02,329.99,30.11,360.2721308,6.182441,320
329.99,332.17,310,320,5.86,357.28901,6.1958,349.98
320,368.12,310.03,349.98,23.07,356.7476018,6.203457,348.99
349.98,349.98,348.99,348.99,1.87,356.1729647,6.20452,325.01
348.99,348.99,319.67,325.01,39.87,353.8645969,6.204756,327.06
325.01,327.06,325.01,327.06,1.08,351.8790712,6.205786,338.75
327.06,342.08,327.06,338.75,0.5716,350.9065474,6.20927,320.38
338.75,338.75,320.38,320.38,4.11,348.6453217,6.201752,320.38
320.38,320.38,320.38,320.38,0,346.5515941,6.197066,320.48
320.38,320.48,320.38,320.48,0.01,344.620365,6.202766,313.37
320.48,320.48,313.37,313.37,3.74,342.3055231,6.202086,313.01
313.37,320.04,313.01,313.01,1.9,340.1354844,6.202078,314.76
313.01,325,313.01,314.76,29.97,338.2558188,6.205868,313
314.76,338.95,313,313,4.55,336.3850175,6.19094,319.14
313,319.14,313,319.14,9.61,335.1076088,6.193968,325
319.14,325,314.03,325,0.435,334.358897,6.194942,315.3
325,325,313.18,315.3,8.92,332.9471268,6.194392,295
315.3,319.93,295,295,52.48,330.1362286,6.193766,265.87
295,297.48,265.87,265.87,25.49,325.3757672,6.194126,277.4
265.87,280,252.32,277.4,61.92,321.8220067,6.204466,281.15
277.4,293.66,260,281.15,8.48,318.8092654,6.198784,300
281.15,300,269,300,7.71,317.4159865,6.198144,283.53
300,300,283.53,283.53,8.34,314.9059134,6.198018,283.5
283.53,295.72,283,283.5,3.5,312.5795495,6.194036,277.78
283.5,300,274.73,277.78,53.89,310.0018051,6.192516,265
277.78,277.78,265,265,1.77,306.668338,6.191442,265.06
265,300,263.02,265.06,59.03,303.5862389,6.187672,216
265.06,268,215.09,216,200.71,297.0983694,6.182272,175
216,230.99,175,175,204.92,288.0540457,6.179778,219
175,236.47,175,219,133.32,282.9389312,6.173942,213.36
219,219,195.2,213.36,44.71,277.7849363,6.189518,200
213.36,213.36,196,200,9.22,272.0230892,6.191802,219.98
200,220,199.5,219.98,31.12,268.1680455,6.192786,211.01
219.98,219.98,206,211.01,7.54,263.9341162,6.201666,219.82
211.01,219.84,208.4,219.82,5.22,260.6664039,6.198032,224.49
219.82,225.91,206.1,224.49,47.35,257.9866703,6.195224,227.02
224.49,241.02,224.49,227.02,26.41,255.6928429,6.193808,228.04
227.02,231.24,222.68,228.04,10.24,253.6444841,6.20981,250.87
228.04,251.36,228.02,250.87,108.7,253.4389668,6.212876,257.06
250.87,257.06,241.28,257.06,46.71,253.7071915,6.214534,270
257.06,307.05,250.04,270,86.66,254.9140662,6.235164,250.85
270,270,205,250.85,59.44,254.6130242,6.227182,248
250.85,280,248,248,66.57,254.1231706,6.228882,231.83
248,248,222.28,231.83,36.22,252.4718246,6.227606,220
231.83,239.36,220,220,55.19,250.0665043,6.231504,216.69
220,239.98,216.69,216.69,13.39,247.5941706,6.23267,239.98
216.69,239.98,210.01,239.98,5.1,247.030158,6.235354,228
239.98,239.98,223.94,228,5.23,245.6205167,6.242494,235.45
228,246.93,228,235.45,18.47,244.8671451,6.23958,228.9
235.45,235.45,221.85,228.9,15.17,243.6843936,6.230141,217
228.9,228.9,215.25,217,17.34,241.7077718,6.232536,221.92
217,225,215,221.92,12.4,240.2420109,6.226046,229.66
221.92,231.58,218.44,229.66,1.81,239.4581583,6.224384,229.23
229.66,229.66,218.81,229.23,14.25,238.7005169,6.225212,220.5
229.23,229.23,215,220.5,16.66,237.3523305,6.228572,215.01
220.5,221.92,215,215.01,3.39,235.697343,6.222678,207.2
215.01,215.01,205,207.2,5.63,233.5864287,6.222798,224
207.2,224,207.2,224,2.52,232.8763229,6.225156,232.8
224,240,207,232.8,58.79,232.8706694,6.220958,250
232.8,250,228,250,44.01,234.1395087,6.220068,233.94
250,264.8,228,233.94,48.46,234.1247303,6.220052,250.66
233.94,250.66,227.67,250.66,27.26,235.349565,6.227482,249.98
250.66,250.66,230.3,249.98,7.42,236.433301,6.232794,236
249.98,249.98,230.3,236,14.94,236.4012046,6.23278,240.1
236,244.06,236,240.1,6.17,236.6751894,6.233576,241.03
240.1,248.5,240.1,241.03,40.23,236.997768,6.2338,240.12
241.03,244.09,240.09,240.12,0.2377,237.2290444,6.234042,235
240.12,247.44,235,235,21.4,237.06393,6.23389,236.12
235,239.9,234.08,236.12,28.05,236.9940093,6.23475,238
236.12,238,236.12,238,0.88,237.0685271,6.233038,237.02
238,240.18,237.02,237.02,6.48,237.0649325,6.23795,239.64
237.02,239.64,235,239.64,22.71,237.2556783,6.237038,256
239.64,259.42,238,256,122.77,238.6441465,6.244064,250.13
256,256,244,250.13,43.61,239.4949505,6.24639,250.36
250.13,261.5,240.01,250.36,24.21,240.299769,6.247276,271.37
250.36,280,249.89,271.37,53.78,242.6012676,6.251716,277
271.37,280.09,264.69,277,24.73,245.1493218,6.252259,269.4
277,285.73,267.32,269.4,36.32,246.9456684,6.247736,274.49
269.4,278.61,265.17,274.49,16.6,248.9859892,6.245256,260
274.49,275.46,260,260,10.93,249.8018419,6.241726,269.93
