"open","high","low","close","volume","ema26","cny","ltc","next1"
374,389.98,370.43,373.07,0.3818,375.5199716,6.149208,0.009898,362.58
373.07,376.06,360.29,362.58,4.53,374.5614552,6.166808,0.01006,345.49
362.58,376,342.46,345.49,6.64,372.4080141,6.177938,0.01,345.56
345.49,357.5,345.49,345.56,0.1607,370.4192723,6.16833,0.01,372.12
345.56,372.12,342.5,372.12,0.7364,370.5452521,6.177122,0.009921,360
372.12,372.12,346.77,360,0.9118,369.7641223,6.174689,0.009825,352
360,360,350,352,33.15,368.4482614,6.174622,0.009919,350
352,358.98,350,350,0.6043,367.0817235,6.173584,0.009919,343.07
350,358.98,342.04,343.07,22.78,365.3030773,6.177014,0.009966,330.09
342.04,358.92,330.09,330.09,4.45,362.6947012,6.176336,0.009306,329.99
330.09,355.33,315.02,329.99,30.11,360.2721308,6.182441,0.009223,320
329.99,332.17,310,320,5.86,357.28901,6.1958,0.009037,349.98
320,368.12,310.03,349.98,23.07,356.7476018,6.203457,0.009024,348.99
349.98,349.98,348.99,348.99,1.87,356.1729647,6.20452,0.008967,325.01
348.99,348.99,319.67,325.01,39.87,353.8645969,6.204756,0.008836,327.06
325.01,327.06,325.01,327.06,1.08,351.8790712,6.205786,0.008703,338.75
327.06,342.08,327.06,338.75,0.5716,350.9065474,6.20927,0.008594,320.38
338.75,338.75,320.38,320.38,4.11,348.6453217,6.201752,0.00848,320.38
320.38,320.38,320.38,320.38,0,346.5515941,6.197066,0.008533,320.48
320.38,320.48,320.38,320.48,0.01,344.620365,6.202766,0.008514,313.37
320.48,320.48,313.37,313.37,3.74,342.3055231,6.202086,0.008637,313.01
313.37,320.04,313.01,313.01,1.9,340.1354844,6.202078,0.008756,314.76
313.01,325,313.01,314.76,29.97,338.2558188,6.205868,0.008604,313
314.76,338.95,313,313,4.55,336.3850175,6.19094,0.008726,319.14
313,319.14,313,319.14,9.61,335.1076088,6.193968,0.008619,325
319.14,325,314.03,325,0.435,334.358897,6.194942,0.008788,315.3
325,325,313.18,315.3,8.92,332.9471268,6.194392,0.00845,295
315.3,319.93,295,295,52.48,330.1362286,6.193766,0.00767,265.87
295,297.48,265.87,265.87,25.49,325.3757672,6.194126,0.007439,277.4
265.87,280,252.32,277.4,61.92,321.8220067,6.204466,0.007621,281.15
277.4,293.66,260,281.15,8.48,318.8092654,6.198784,0.007441,300
